Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Radja Vapor,Sales Promotion Girl (SPG),"Denpasar Timur, Denpasar, Bali, Indonesia",,"Berpenampilan Menarik, Berkomunikasi Dengan Baik, Percaya Diri, Aktif Sosmed",,https://glints.com/id/opportunities/jobs/sales-promotion-girl-spg/fdfac9f4-0492-4fa4-a869-98a30f1ed0b0?utm_referrer=explore
Pt Cipta Harmoni Lestari,Internship Graphic Designer,"Kelapa Dua, Kab. Tangerang, Banten, Indonesia",,"Creative Thinking, Visual Design, Adobe Photoshop","Best Mid-End Housing Development, Best Housing Interior Design, Silver Awards for Eco Friendly housing developmen",https://glints.com/id/opportunities/jobs/internship-graphic-designer/444f8200-f2b4-4784-9c6b-960f0424a850?utm_referrer=explore
PT. Dachin Etech Global,SPG Bandung,"Cicendo, Bandung, Jawa Barat, Indonesia",,,"Melaksanakan proses dan prosedur pencapaian target penjualan, Mencari customer baru dan berpotensial, Kunjungan rutin ke customer dan menjadwalkan pengunjungan, Membantu proses implementasi program promosi agar berjalan sesuai dengan mekanisme yang ditetapkan",https://glints.com/id/opportunities/jobs/spg-bandung/4a6e8c6e-b519-4a0a-970f-7756c242750b?utm_referrer=explore
Faith Fade,Business Development Intern,"Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Rp500rb-Rp1jt,"Social Media Marketing, Social Media, Business Development, Business Analyst",,https://glints.com/id/opportunities/jobs/business-development-intern/e9b9c2b8-7128-4e45-b53f-c699d9512539?utm_referrer=explore
Kawan Kerja,Programmer,"Bandung Wetan, Bandung, Jawa Barat, Indonesia",Rp100rb,"Programming, Problem Solving, Kerjasama Tim","Menciptakan sebuah program, Memodelkan atau merancang sistem, Melakuka pengujian atau testig program",https://glints.com/id/opportunities/jobs/programmer/0b074933-ce9d-4e16-b91a-9aae7a11f9dc?utm_referrer=explore
Bellagreen Skin Care,Social Media Specialist,"Pondok Aren, Tangerang Selatan, Banten, Indonesia","Rp2,5jt-Rp3jt",,"Kreatif, Bisa bekerja dalam tim atau pun individu, Mengerti tentang media sosial, Terampil dalam membuat video menggunakan smarthone, Bisa membuat konten secara sistematis, Memiliki kepribadian yang menyenangkan, Mempunyai growth mindset, Pekerja keras dan tidak drama",https://glints.com/id/opportunities/jobs/social-media-specialist/e9d47015-f5a4-45ae-bf75-ddaa6b50979f?utm_referrer=explore
Samadia Solution Group (PT Intermedia Kreasi Mandiri),Creative Marketing Trainee (Internship),"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",,"Marketing, Creative Marketing, Creative Thinking",,https://glints.com/id/opportunities/jobs/creative-marketing-trainee-internship/06384b83-d8b1-4ad0-95a6-fbd23ceae4df?utm_referrer=explore
Samadia Solution Group (PT Intermedia Kreasi Mandiri),Sales & Promotion Trainee (Internship),"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",,"Sales Promotion, Sales & Promotions Representative, Sales",,https://glints.com/id/opportunities/jobs/sales-and-promotion-trainee-internship/2a895b4d-8eba-49ce-b498-638bb5ab3a76?utm_referrer=explore
Samadia Solution Group (PT Intermedia Kreasi Mandiri),Management Trainee (Internship),"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",,,,https://glints.com/id/opportunities/jobs/management-trainee-internship/6024a424-f2ce-4882-b024-7d7fda07176c?utm_referrer=explore
Samadia Solution Group (PT Intermedia Kreasi Mandiri),Creative Marketing Trainee & Management Trainee,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",,,,https://glints.com/id/opportunities/jobs/creative-marketing-trainee-and-management-trainee/eff26f49-dd6d-43eb-bd8e-f9ad84c3107e?utm_referrer=explore
