Company,Job_title,Location,Salary,Skill,Job_Desc,Links
PT Inti Nya Teknologi,Teknisi Ritel,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp5jt-Rp6jt,"Good Comunication Skill, Disiplin, Analytical Skills, Teknik Mesin, Membaca gambar teknik","Memperbaiki produk elektronik perusahaan, Memasang produk elektronik perusahaan, Memperbaiki produk elektronik customer yang rusak, Mampu menjelaskan bagaimana cara memperbaiki dan penyebab rusaknya barang elektronik",https://glints.com/id/opportunities/jobs/teknisi-ritel/5a77c8e2-ded6-40d3-848b-5c2c08c29e6e?utm_referrer=explore
PT Instrumen Musik Bersama,Sales Distributor Alat Musik,"Cakung, Jakarta Timur, DKI Jakarta, Indonesia",Rp4jt-Rp5jt,"Komunikatif, Bertanggungjawab , Jujur dan Dis, Sehat Jasmani Dan Rohani","Mengidentifikasi dan menghubungi prospek potensial di area yang ditugaskan., Mempromosikan dan menjual produk dan layanan perusahaan kepada pelanggan potensial., Membangun dan menjaga hubungan bisnis yang baik dengan pelanggan yang ada., Mencapai target penjualan yang ditetapkan oleh perusahaan., Mengikuti perkembangan pasar dan tren industri terkait., Memberikan layanan pelanggan yang superior dan menjawab pertanyaan atau masalah pelanggan dengan cepat dan efektif., Mengumpulkan dan menyampaikan informasi pasar dan umpan balik pelanggan kepada tim manajemen.",https://glints.com/id/opportunities/jobs/sales-distributor-alat-musik/b60823d5-6d98-477f-b49c-869cc56be1e0?utm_referrer=explore
PT Cilia Prisma Utama Makmur,Marketing Executive  - Banten,"Serang, Serang, Banten, Indonesia","Rp4,5jt-Rp5jt","Penjualan Dan Pemasaran, Sales, Sales Marketing","Posisi ini juga berlaku bagi Marketing Executive, Sales Representative, Business Development Officer dan Account Executive, Membuka pasar dan mencari pelanggan baru di pasar traditional, retail dan pareto, Bertanggung jawab atas mencapai target penjualan dan kunjungan yang telah ditetapkan perusahaan, Menjaga hubungan baik dengan pelanggan, Memastikan proses penjualan berjalan dengan lancar, Bertanggung jawab atas penagihan terhadap pelanggan, Membuat laporan harian, mingguan dan bulanan, Bersedia ditempatkan area Serang dan Tangerang",https://glints.com/id/opportunities/jobs/marketing-executive-banten/fa5ab68b-8796-4244-b6fe-25db9757317f?utm_referrer=explore
FIFGROUP CABANG KUTA,Marketing Executive,"Kuta, Kab. Badung, Bali, Indonesia","Rp1,2jt-Rp10jt","Marketing, Social Media Marketing, Sales Marketing","Menawarkan produk pinjaman dana tunai, Menjaga loyalitas customer",https://glints.com/id/opportunities/jobs/marketing-executive/795cc762-766c-49f2-9cdb-635ccb97ffa5?utm_referrer=explore
Odistri Indonesia,Staff Magang - Admin,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Rp1jt-Rp2jt,"Magang Admin, Office Administration, Administration","Memiliki skill Microsoft Office, Bisa mengetik cepat, Memiliki kemapuan komunikasi, menulis, dan manajemen waktu yang baik, Teliti dan detail oriented",https://glints.com/id/opportunities/jobs/staff-magang-admin/57b717ac-f1eb-45d2-b309-7fe568c980c0?utm_referrer=explore
Pasima,Sales Consultant (Car Assistant),"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Rp500rb-Rp2jt,"Lead Generation, Communication, Sales, Lead Qualification","Melakukan aktifitas iklan unit mobil bekas showroom melalui berbagai macam channel secara rutin, Berkomunikasi dan mengkualifikasi calon pembeli, memastikan kebutuhan dan keinginan sesuai dengan unit mobil bekas yang tersedia, Berkomunikasi kepada team internal Pasima perihal kebutuhan customer, Melakukan laporan berkala kepada Sales Manager",https://glints.com/id/opportunities/jobs/sales-consultant-car-assistant/898235f8-0791-45ea-a5fe-02a45f92ed91?utm_referrer=explore
Virallo.id,Video Editor Internship,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia","Rp1,5jt","Edit Video And Photo, Producer Video, Shoot Video","Support the creative team with brainstorming, planning and producing of video content to achieve the, Produce, shoot and edit various types of video including; documentaries, interviews, series formats, sizzle reels., Conceptualize, pitch storytelling ideas, create and organize content from start to finish., Edit post-production footage with thorough knowledge of timing, motivation and continuity, as well as archiving., Work with creative team and marketing team to manage branding activities and marketing campaigns.",https://glints.com/id/opportunities/jobs/video-editor-internship/6a7dcc64-822b-45ec-9e23-3c84c7a70675?utm_referrer=explore
Company,Job_title,Location,Salary,Skill,Job_Desc,Links
PT EVE Medika Indonesia (EVE Beauty Clinic),Beautician,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia","Rp2,5jt-Rp2,8jt","Ketelitian, Kerja Tim, Berkomunikasi Dengan Baik","membantu mempersiapkan peralatan treatment, membantu proses treatment yang di lakukan dokter, menjelaskan after care setelah treatment kepada tamu",https://glints.com/id/opportunities/jobs/beautician/e0feadc1-491f-47ca-926a-67526802a30c?utm_referrer=explore
MIRALAND,Admin Tax,"Kuta Selatan, Kab. Badung, Bali, Indonesia","Rp3,2jt-Rp4jt","Akuntansi, Advanced Microsoft Excel, Menguasai Perpajakan","Pendidikan Minimal D4/S1 Akutansi/Perpajakan, Pengalaman kerja di bidang perpajakan minimal 1 tahun.",https://glints.com/id/opportunities/jobs/admin-tax/8f04c579-728a-4fde-be93-3b80fdd4811e?utm_referrer=explore
MIRALAND,Admin Tax,"Kuta Selatan, Badung, Bali, Indonesia","Rp3,2jt-Rp4jt","Akuntansi, Advanced Microsoft Excel, Menguasai Perpajakan","Pendidikan Minimal D4/S1 Akutansi/Perpajakan, Pengalaman kerja di bidang perpajakan minimal 1 tahun.",https://glints.com/id/opportunities/jobs/admin-tax/8f04c579-728a-4fde-be93-3b80fdd4811e?utm_referrer=explore
