id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl95,Coding Teacher,PT. Lab Inovasi Teknologi,Pengalaman Mengajar,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp4jt-Rp5jt,1 – 3 tahun,"Bahasa Inggris Aktif, Pengalaman Mengajar, Coding",Diploma (D1 - D4),"Teaching coding and robotics all types of Cyberspace courses on or off the school, Creating a fun and engaging class, Completing academic administration activities accurately and on time, Participating in staff meetings, group works, training sessions, events and other activities organized by Cyberspace, Supporting other departments in improving the work of the team and/or the entire Cyberspace activity",https://glints.com/id/opportunities/jobs/coding-teacher/d7eff966-a43a-4ac1-be82-c859c544134c?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/186dde557ed73aa3f5097315a807e93f.png
gl96,SPG Mall,PT Muara Juara Kreasi Indonesia,Interpersonal Skills,"Ciracas, Jakarta Timur, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Interpersonal Skills, Marketing Communications, Sales and Marketing",SMA/SMK,,https://glints.com/id/opportunities/jobs/spg-mall/7440e2aa-b2a6-4187-b0fd-30b5b9407faf?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/3b5870c64f37821164e82640e6dbc80c.jpg
gl97,Web Developer,PT. Multi Kontrol Nusantara,Python,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,5 – 10 tahun,"SQL, Python, Rest Api",Sarjana (S1),,https://glints.com/id/opportunities/jobs/web-developer/72364608-5586-4031-9862-9d85281365c7?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0a53928090c7aa587f4e21c584e21219.jpg
gl98,Sekretaris,Nur Pacific Salon Surabaya,Administration,"Dukuh Pakis, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Secretarial Skills, Office Administration, Administration",Sarjana (S1),"Wanita, Single Usia Maksmimal 28 Tahun, Lulusan S1 Public Relation dari, Teliti, Tegas, Detail, Rapi dan Teratur, Memiliki Kemampuan Komunikasi Yang Baik, dan Detail Oriented, Berpenampilan Menarik Jujur, Terbiasa Multitasking, Disiplin,dan Cekatan, Pengalaman Sebagai Sekretaris, Minimal 3 Tahun",https://glints.com/id/opportunities/jobs/sekretaris/9e206aa0-aeeb-4d3e-856b-724d3cb5c25d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b99a992084a5048b132ee67663bf4e6f.png
gl99,Kitchen,Chachikey,Suka memasak,"Puri, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp1jt-Rp1,3jt",1 – 3 tahun,"Suka memasak, Bisa Memasak, Suka kebersihan  kerapihan",SMP,"Laki-laki maksimal usia 28 tahun, Pendidikan minimal SMP/Sederajat, Suka memasak, Suka tantangan, Rajin,ulet dan tekun, Mau bekerja dengan sistem shif, Domisili Mojokerto",https://glints.com/id/opportunities/jobs/kitchen/ea26f04d-cc7e-4e48-a7f9-82d6678aa97d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b34995dbd81965563e527c3f032a9e89.png
gl100,Kitchen,Chachikey,Suka memasak,"Magersari, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp1jt-Rp1,3jt",1 – 3 tahun,"Suka memasak, Bisa Memasak, Suka kebersihan  kerapihan",SMP,"Laki-laki maksimal usia 28 tahun, Pendidikan minimal SMP/Sederajat, Suka memasak, Suka tantangan, Rajin,ulet dan tekun, Mau bekerja dengan sistem shif, Domisili Mojokerto",https://glints.com/id/opportunities/jobs/kitchen/ad428100-bf63-447a-9eee-a06348052abd?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b34995dbd81965563e527c3f032a9e89.png
gl101,COOK HELPER,The Duck King,Fast Learner,"Kapanewon Depok, Sleman, DI Yogyakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Discipline, Fast Learner, Teamwork",SMA/SMK,"Usia 18-30 Tahun, Pendidikan min. SMA/SMK atau sederajat, Berpengalaman min. 1 tahun (Fresh graduate dipersilahkan melamar), Cekatan dan teliti, Memiliki kemampuan komunikasi yang baik, Mampu bekerja dalam tim maupun secara individu, Disiplin, Jujur, dan Terampil, Mempunyai pengalaman di bidang yang sama menjadi nilai tambah, Penempatan Yogyakarta",https://glints.com/id/opportunities/jobs/cook-helper/90bbc0ba-d295-419e-a189-a5073278090f?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b1acce3fe0843a3ee32ed5fe333f6011.png
gl102,Optical Engineering,PT. Multi Kontrol Nusantara,AutoCAD,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,5 – 10 tahun,"SketchUp, AutoCAD, Google Earth",Sarjana (S1),"prepare technical document/proposal, technical presentation to customer and close relationship with sales team for pre-sales activities or to fulfill requirements on tender process, analyze product design, customer requirements and performance standards and authorizes technical studies, establish project objectives, analyze the project proposal and collaborates with account manager and the management, lead field surveyor, conduct surveys the sites, design, plans and execute of the fiber optic project, and other associated works, prepare detailed construction and installation drawings (design pack, as plan drawing, etc), estimates equipment, labor, and material costs",https://glints.com/id/opportunities/jobs/optical-engineering/a6338c94-449c-4dc0-8458-269221db4fa0?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0a53928090c7aa587f4e21c584e21219.jpg
gl103,SPV Outlet,Nobunaga Sushi,Communication Skills,"Kranggan, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Teamwork, Communication Skills, Cook Japan Cuisine",SMA/SMK,"Laki-laki / Wanita, Mampu mengkordinaikan team, Mempunyai pengalaman dibidang F&B minimal 2 tahun, Paham stock opname, Memahami Kasir dan onlinefood (Gojek,Grab,Shopee), Bisa masak/ Suka masak / memiliki kemampuan untuk belajar, Umur maksimal 27 tahun, Jujur, Disiplin, Bertanggung jawab, Mampu bekerja dalam tim, Serius ingin belajar",https://glints.com/id/opportunities/jobs/spv-outlet/55c29b44-cb6c-4f2d-8ee6-6ee7b1190a13?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/28dd33c0f68595a48df272588a5ec938.jpg
gl104,SPV Outlet,Nobunaga Sushi,Communication Skills,"Puri, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Teamwork, Communication Skills, Cook Japan Cuisine",SMA/SMK,"Laki-laki / Wanita, Mampu mengkordinaikan team, Mempunyai pengalaman dibidang F&B minimal 2 tahun, Paham stock opname, Memahami Kasir dan onlinefood (Gojek,Grab,Shopee), Bisa masak/ Suka masak / memiliki kemampuan untuk belajar, Umur maksimal 27 tahun, Jujur, Disiplin, Bertanggung jawab, Mampu bekerja dalam tim, Serius ingin belajar",https://glints.com/id/opportunities/jobs/spv-outlet/0d288a4e-f136-4b9b-bfc5-22efbf9b6bfe?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/28dd33c0f68595a48df272588a5ec938.jpg
