id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl245,Warehouse Staff (Semarang),PT Repex Wahana,Warehouse Helper,"Semarang Barat, Semarang, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Warehouse Helper, Warehouse Management System (WMS), Warehouse And Logistic Management, Coordination, Shifting",SMA/SMK,"Membantu mengatur stok barang di gudang, Membantu packing barang-bareng yang ingin diantar, Menjaga lingkungkan gudang agar tidak ada barang yang hilang, Mengerti tentang pendistribusian barang masuk dan barang keluar, Bersedia melakukan pekerjaan sesuai dengan arahan yang diberikan",https://glints.com/id/opportunities/jobs/warehouse-staff-semarang/a7998212-c94a-4267-ac24-781a5d59bb36?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/a2d73960f26f70b138ea4c91106b7c46.png
gl246,Sales Executive,CV. Global Pet Indonesia,Penjualan Dan Pemasaran,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Penjualan Dan Pemasaran, Komunikatif, Ramah dan komunikatif, Membuat Laporan Penjualan Sales, Sales and Marketing, Penjualan, Sales, Sales Marketing",SMA/SMK,"Usia Maksimal 30 Tahun, Pendidikan terakhir minimal SMA/SMK, Memiliki pengalaman kerja sebagai sales dibidang FMCG atau Pet Industry (lebih diutamakan) minimal 1 tahun, Memiliki kendaraan bermotor pribadi dan SIM C, Mampu bekerja dengan target, Memiliki komunikasi yang baik, motivasi kuat, dan berorientasi pada hasil, Jujur, disiplin, bertanggung jawab, & berkomitmen tinggi., Dibutuhkan Sales dibeberapa area, yaitu:",https://glints.com/id/opportunities/jobs/sales-executive/967a1a24-c15f-4036-9cb0-a8fdd5ac181b?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/4efb79f819d8c7172118703bbfd7405a.jpeg
gl247,Desain Grafis,PT Dian Bayu Tribuana,Kreatif Dan Inovatif,"Jatisampurna, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Komunikatif, Desain Grafis, Kreatif Dan Inovatif",Diploma (D1 - D4),,https://glints.com/id/opportunities/jobs/desain-grafis/7e99a0d6-16aa-479e-9a63-3b9fd1f2ca7d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/ccf2a3d6a58d70046109fb35f0728b21.jpg
gl248,Admin (Sales),Lush And Glow,Administration,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp3,5jt-Rp4,5jt",Kurang dari setahun,"Sales, Office Administration, Administration",SMA/SMK,,https://glints.com/id/opportunities/jobs/admin-sales/5ce28153-1a49-4e1a-94f8-11d5d3821b0d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/c53da03da06f228aeadb3ac7dbb62413.jpg
gl249,Teknisi Listrik/ AC,Varash Group,Mampu bekerjasama tim atau indiv,"Denpasar Utara, Denpasar, Bali, Indonesia",Kontrak,Tidak ditampilkan,"Rp2,3jt-Rp3jt",Kurang dari setahun,"Mampu bekerjasama tim atau indiv, Teliti Dan Cekatan, Loyal, Berdedikasi,  Inisiatif",SMA/SMK,,https://glints.com/id/opportunities/jobs/teknisi-listrik-ac/3a453967-5908-46ce-9ec2-f7de79b254ac?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0e1dd00694086cb8457ba9fecbd854c7.png
gl250,Sales Property Syariah,Royal Orchid Syariah Group,Sales Marketing,"Ciwidey, Bandung, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Aktif Di Lapangan, Direct Sales, Sales, Good Communication Skills, Sales Marketing",SMA/SMK,,https://glints.com/id/opportunities/jobs/sales-property-syariah/43f7360a-5da1-4272-a87d-229844394b3b?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/37046a0950b45e68611c33b553010e28.png
gl251,Agronomist,PT DayaTani Digital Indonesia,Agronomist,"Cikajang, Garut, Jawa Barat, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Reporting, Agriculture, Agronomist, Good Communication Skills, Field Agronomist",Sarjana (S1),"Good strategies in nursery, cultivation, harvesting, and pest management will be made in SOP., Good coordination with teams related to the implementation of research both in the field and in the lab., Conduct field visits in order to solve problems and test soil samples., Perform research data processing and report generation., Conduct land suitability analysis., Build and maintain relationships with farmers, suppliers/vendors.",https://glints.com/id/opportunities/jobs/agronomist/d065786c-3c02-496f-9589-39c6bdda7981?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/8f8fd7bfbb77a20acf93a97d88d8eb52.png
gl252,Kebersihan Kantor,PT. Bintang Indah Gemilang,Wanita,"Krian, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Wanita, Menjaga Kebersihan Kantor, Ijazah, Memiliki SKCK Aktif, Suka kebersihan  kerapihan",SMA/SMK,,https://glints.com/id/opportunities/jobs/kebersihan-kantor/c80a4f5a-c493-43dd-a54b-a5640f5083bf?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/322fbfe9aca8e737a5563053c93c9547.png
gl253,Marketing Intern (Creative Design),"PT. AKASHA WIRA INTERNATIONAL,Tbk.",Adobe Indesign,"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Creative Concept, Adobe Indesign, Graphic Design, Canva Design, Adobe Photoshop",Sarjana (S1),"At least 5th Semester undergraduate of all major and open for fresh graduate, Menguasai Photoshop, AI, premiere, Menguasai foto & editing foto/video produk simple, Willing to work hybrid (jika ada produksi konten), Update dengan trend beauty care industry",https://glints.com/id/opportunities/jobs/marketing-intern-creative-design/6a441479-1237-41c2-be16-5256061c0813?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0290958ae7a3b1158efe77a7453392a6.jpg
gl254,Tax Staff / Tax Consultant,PT Distributor Gadget Indonesia,Bravet Certificate,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"Espt pph final 4 (2), Neraca laba rugi, reporting PPh 23, Perpajakan, Tax Consultant, Senior Tax Consultant, E-faktur (tax), Pph Dan Ppn, Pph 23, ESPT Pph 21, Konsultan, eSPT PPN, E- Spt PPH 21, Basic Pph 21 Knowledge, ESPT PPH 23, Pph Badan, Espt tahunan, Espt Pajak, Strong Leadership Skills, Income Tax, PPh 23, Tax Accounting, Pph 25, Accounting & Tax Manager, Tax, Pph 4 (2), Pph 21, E Faktur Pajak, E-SPT PPh Badan, Efaktur Pajak, Taxation, Good Communication Skills, Bravet A B, Pelaporan pajak, MEMAHAMI PERHITUNGAN PPH 23 DAN , Tax Preparation, Memahami Perpajakan, E-spt (tax), Tax Planning, Menghtung Pph 21, Bravet Certificate",Diploma (D1 - D4),"Melakukan perhitungan dan pelaporan PPh21, PPh23, PPh25, PPh 4(2) dan PPN setiap bulannya, Melakukan pembuatan efin dan sertifikat elektronik, Mengajukan PBK atau surat-surat lain ke KPP, Melakukan dokumentasi atas setiap transaksi perpajakan PPh21, PPh23, PPh25, PPh 4(2) dan PPN setiap bulannya, Melakukan pengecekan antara faktur pajak keluaran dengan invoice penjualan, Menyusun laporan keuangan dan melaporkan SPT Tahunan, Melakukan rekonsiliasi rekening bank, ... dan jobdesc lainnya yang berhubungan dengan Tax",https://glints.com/id/opportunities/jobs/tax-staff-tax-consultant/fa1a8d25-ca23-4614-b7e1-8661ec3f7fab?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/5cec25e48f339e418ee19fc18a23c268.jpeg
gl255,Area Coordinator - Jawa Tengah,Finfleet,Proactive And Fast Learner,"Kapanewon Sleman, Sleman, DI Yogyakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp3jt-Rp5jt,1 – 3 tahun,"Proactive And Fast Learner, Teamwork, Team Leadership, Google Spreadsheet, Coordination, Persuasive, Good Communication Skills",Sarjana (S1),"Melakukan site visit rutin ke project area Jawa Tengah, Bertanggung jawab terhadap administrasi kepegawaian, Berkoordinasi dengan klien project area Jawa Tengah, Memastikan dan memonitoring pemenuhan MPP project area Jawa Tengah, Berkoordinasi dengan kantor pusat maupun pihak eksternal, Bertanggung jawab memastikan KPI project berjalan dengan baik, Bertanggung jawab membuat Reporting perbulan kepada Manager",https://glints.com/id/opportunities/jobs/area-coordinator-jawa-tengah/188b27c0-e77f-484f-b198-d94829e2f589?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/ab1d35c4f9ee0c455d89501ce8a768fd.png
gl256,Livestreamer / Live Stream Host,Wearinasia (wia.id),live streaming,"Kelapa Dua, Tangerang, Banten, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Nyaman Tampil Di Kamera, Berkomunikasi Dengan Baik, host live streaming, live streaming",SMA/SMK,"Male or female., Strong interest in the world of sports or content creation., Comfortable in front of the camera with excellent audience interaction skills.",https://glints.com/id/opportunities/jobs/livestreamer-live-stream-host/69ddb382-5b29-4b32-8ef5-346211bfc9a8?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/2c6d88d7435ba87b9e3e93cab6862219.png
gl257,Head Finance,Tosmart Trade International,Memiliki Jiwa Kepemimpinan,"Pulogadung, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Finance Accounting, Finance, Memiliki Jiwa Kepemimpinan",Sarjana (S1),"Menyusun dan menerapkan strategi dan rencana keuangan, Melakukan perencanaan anggaran, proyeksi keuangan dan laporan keuangan, Menganalisis keuangan dan memberikan masukkan, Memastikan perusahaan taat membayar pajak, Mengawasi operasi akuntansi dan keuangan perusahaan, Mengelola resiko keuangan, Mengembangkan dan melaksanakan rencana dan strategi keuangan, Mengelola anggaran perusahaan, Memberikan rekomendasi untuk peningkatan, Menyusun dan menyajikan laporan keuangan untuk laporan kepada pemangku saham, Mampu mengidentifikasi dan mengelola resiko keuangan dan meminimalkan potensi kerugian dan memaksimalkan keuntungan, Menjalin hubungan baik dengan divisi kerja lain demi memaksimalkan keuntungan",https://glints.com/id/opportunities/jobs/head-finance/b6eaadb4-df53-487d-a192-217cc15f8b25?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/e1f75c488f28ae3f3cfb886c7735c1ed.jfif
