Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Link
Fashion Designer,MII CMT Indonesia,"Karawaci, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,Salon Assistant,Rp3jt,https://glints.com/id/opportunities/jobs/fashion-designer/ec2194be-7f91-4d43-ab5f-2ca4c4b920e7?utm_referrer=explore
Social Media Specialist,Hijab Syandana,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,Sales Operations,N/A,https://glints.com/id/opportunities/jobs/social-media-specialist/f605861b-ebb1-464a-bd95-3e37afeab8c4?utm_referrer=explore
Açaí Bowl Maker and Customer Service,Oakberry Indonesia,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Minimal SMP,1 – 3 tahun,Trend Forecasting,N/A,https://glints.com/id/opportunities/jobs/acai-bowl-maker-and-customer-service/61155f10-a046-4362-8764-835dc64c5171?utm_referrer=explore
Sales Marketing,PT. Estetika Ruang Indah,"Sungai Pinang, Samarinda, Kalimantan Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,Adobe Illustrator,N/A,https://glints.com/id/opportunities/jobs/sales-marketing/e31e63c7-de72-435a-8514-99296d16f1a0?utm_referrer=explore
Performance Marketing Specialist,PT. PAKAR ANUGERAH GEMILANG,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),5 – 10 tahun,Hospitality,N/A,https://glints.com/id/opportunities/jobs/performance-marketing-specialist/93124a30-b6e9-4e39-999a-fd3f589d6fa5?utm_referrer=explore
Sales Executive Property,Sasmita Property,"Bogor Barat, Bogor, Jawa Barat, Indonesia",Kontrak,Minimal Sarjana (S1),Kurang dari setahun,Food Preparation,N/A,https://glints.com/id/opportunities/jobs/sales-executive-property/3ee9d842-c525-4b72-b314-45c3b5163247?utm_referrer=explore
Kitchen Helper (Jakarta Barat),Bao Face,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Driving Car,N/A,https://glints.com/id/opportunities/jobs/kitchen-helper-jakarta-barat/5877ce99-ac9c-4e90-afd3-d02156e473a6?utm_referrer=explore
Outlet Leader,Bao Face,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Penjualan Dan Pemasaran,N/A,https://glints.com/id/opportunities/jobs/outlet-leader/748dde3f-222e-4a55-8189-c898363c9590?utm_referrer=explore
Kitchen Helper (Jakarta Utara),Bao Face,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Want to learn and grow,N/A,https://glints.com/id/opportunities/jobs/kitchen-helper-jakarta-utara/d152413e-3cfb-4f2c-a6bb-8f7549ebe804?utm_referrer=explore
Content Writer Intern,Mantappu Corp.,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal Sarjana (S1),Kurang dari setahun,akreditasi jurusan minimal B,N/A,https://glints.com/id/opportunities/jobs/content-writer-intern/92136697-c52c-4057-b800-0f4d5e6a37ef?utm_referrer=explore
MT- Supervisor Operasional Bali / Nusa Tenggara,PT. Arta Boga Cemerlang Bali NTR (Orang Tua Group),"Kota Tambolaka, Sumba Barat Daya, Nusa Tenggara Timur, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/mt-supervisor-operasional-bali-nusa-tenggara/15b9ab38-0b1b-4a5f-bb1f-21d120a0e7a1?utm_referrer=explore
Fundraiser staff,Djalaluddin Pane Foundation (DPF),"Kramatjati, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Jujur Dan Pekerja Keras,N/A,https://glints.com/id/opportunities/jobs/fundraiser-staff/6e55e4f0-ad93-422d-9271-3a48510bd5ee?utm_referrer=explore
Staff Packing,Yoeker,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Harian,Minimal SMP,Kurang dari setahun,Jujur Dan Pekerja Keras,N/A,https://glints.com/id/opportunities/jobs/staff-packing/d8d63ded-ebe4-412a-8d61-191c0efc3f61?utm_referrer=explore
Teknisi Mesin EDC,PT Qualita Indonesia,"Kota Kisaran Timur, Asahan, Sumatera Utara, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,Jujur Dan Pekerja Keras,N/A,https://glints.com/id/opportunities/jobs/teknisi-mesin-edc/679a7a71-8c8b-4888-b75f-909d590b3ac0?utm_referrer=explore
