Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Link
BA For Somethinc ( Gianyar),Somethinc,"Gianyar, Gianyar, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Sales Marketing,Rp100rb-Rp1jt,https://glints.com/id/opportunities/jobs/ba-for-somethinc-gianyar/0c134706-1f17-44ec-9afb-870e19ca36c1?utm_referrer=explore
Fotografer,CV. Macaca Merah Muda,"Margahayu, Bandung, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Fotografi,Rp4jt-Rp6jt,https://glints.com/id/opportunities/jobs/fotografer/2c957a6e-af09-465b-a667-669c36742a2a?utm_referrer=explore
Guru Bimbel Bidang Studi Geografi,Bimbingan dan Konsultasi Belajar Nurul Fikri,"Rawalumbu, Bekasi, Jawa Barat, Indonesia",Paruh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Photo Editing,Rp6jt-Rp8jt,https://glints.com/id/opportunities/jobs/guru-bimbel-bidang-studi-geografi/bcf7a9bb-df88-4da7-83ba-ff8992951173?utm_referrer=explore
Digital Marketing,Violet Moslem Fashion Gallery,"Mustika Jaya, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Interactive Teaching,N/A,https://glints.com/id/opportunities/jobs/digital-marketing/a0d2e2a8-14fa-4152-9820-ba47be87d856?utm_referrer=explore
Chef / Koki,Dancell Official,"Wiyung, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Marekting,N/A,https://glints.com/id/opportunities/jobs/chef-koki/e3ce5b2a-baf8-466b-b7af-2007cd8bfc97?utm_referrer=explore
Sales,PT Spasial Teknologi Indonesia,"Antapani, Bandung, Jawa Barat, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Team Leadership,N/A,https://glints.com/id/opportunities/jobs/sales/0d8651dc-8967-4bd2-9eaf-9f88be6b6466?utm_referrer=explore
Admin,Cv Wujud Unggul,"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Restaurant Experience,N/A,https://glints.com/id/opportunities/jobs/admin/bfd3f359-3ca9-4766-ae42-2d6b07b72d94?utm_referrer=explore
Penjual Dimsum Keliling,Jakaya Food,"Menganti, Gresik, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/penjual-dimsum-keliling/8c817866-d83f-4853-b078-22c2b1bbbe81?utm_referrer=explore
Penjual Dimsum Keliling,Jakaya Food,"Waru, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,Administrative Skill,N/A,https://glints.com/id/opportunities/jobs/penjual-dimsum-keliling/ac493f3c-324a-45b4-abe9-ca72a40743ee?utm_referrer=explore
Penjual Dimsum Keliling,Jakaya Food,"Jambangan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,Bisa mengemudikan sepeda motor,N/A,https://glints.com/id/opportunities/jobs/penjual-dimsum-keliling/5081aeb0-abf5-4718-a831-b13dfbba6af4?utm_referrer=explore
ELECTRIKAL ENGINEER (TANGERANG),PT Yontomo Sukses Abadi,"Batuceper, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Bisa mengemudikan sepeda motor,N/A,https://glints.com/id/opportunities/jobs/electrikal-engineer-tangerang/81c2ad1b-0c8a-4411-9ff4-45f01c7d72bc?utm_referrer=explore
Operator Host Live,HRD Recreate Creative Agency,"Serpong, Tangerang Selatan, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Bisa mengemudikan sepeda motor,N/A,https://glints.com/id/opportunities/jobs/operator-host-live/2d1146ed-c928-481c-bc59-903169b1ba4e?utm_referrer=explore
Supervisor Operations,Empower Indonesia,"Cempaka Putih, Jakarta Pusat, DKI Jakarta, Indonesia",Paruh Waktu,Minimal SMA/SMK,Kurang dari setahun,SCADA,N/A,https://glints.com/id/opportunities/jobs/supervisor-operations/19e69505-440d-4e34-8601-1bb7cbe383b8?utm_referrer=explore
Host Live Stream,CV. Ingat Selalu Ceilo,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Programmable Logic Controller (PLC),N/A,https://glints.com/id/opportunities/jobs/host-live-stream/4f45e893-da3e-4ca4-a47c-d0893e682930?utm_referrer=explore
Talent/Model,AVA Komunika,"Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Bertanggungjawab , Jujur dan Dis",N/A,https://glints.com/id/opportunities/jobs/talent-model/0ae639cf-f321-40be-b090-305083ccd05b?utm_referrer=explore
LEGAL OFFICER,SATU ATAP CORP,"Kemantren Tegalrejo, Yogyakarta, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Good Problem Solving Skills,N/A,https://glints.com/id/opportunities/jobs/legal-officer/69d1516d-272f-4dd4-9b16-422f3e7c93ba?utm_referrer=explore
Rider,Xi Bo Bikes Bogor,"Bogor Barat, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,Host Live Steam,N/A,https://glints.com/id/opportunities/jobs/rider/8a531f45-7e2c-4945-af6c-680e3aba5f98?utm_referrer=explore
Video Editing Internship,PT Global Jet Ecommerce,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Kreatif Dan Inovatif,N/A,https://glints.com/id/opportunities/jobs/video-editing-internship/802d0131-c866-448b-9046-fb45314a59b4?utm_referrer=explore
CUSTOMER SERVICE OFFLINE / JEWELRY REPRESENTATIVE  (SOLO),Spilla Jewelry,"Laweyan, Surakarta, Jawa Tengah, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Administration,N/A,https://glints.com/id/opportunities/jobs/customer-service-offline-jewelry-representative-solo/ef2c557b-a811-4335-93b0-0f605348eafb?utm_referrer=explore
STAFF MARKETING,Sharp Point Bali,"Mengwi, Badung, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Analytical Skills,N/A,https://glints.com/id/opportunities/jobs/staff-marketing/a2abbe57-25c2-4643-bad5-d9c8e314620d?utm_referrer=explore
Backend Developer,PT Aneka Dasuib Jaya (Javasuperfood),"Cibodas, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Berkomunikasi Dengan Baik,N/A,https://glints.com/id/opportunities/jobs/backend-developer/ab9e3bf6-ec51-4552-b2c9-e7a0e1420e79?utm_referrer=explore
CUSTOMER SERVICE,Sharp Point Bali,"Mengwi, Badung, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,OBS studio,N/A,https://glints.com/id/opportunities/jobs/customer-service/c24fa488-cf58-4886-85f4-55d7255249a5?utm_referrer=explore
Crew Mobile Kompas Gramapuri MGT,Master Boba,"Tambun Utara, Bekasi, Jawa Barat, Indonesia",Kontrak,Minimal SMA/SMK,Kurang dari setahun,Adobe Photoshop,N/A,https://glints.com/id/opportunities/jobs/crew-mobile-kompas-gramapuri-mgt/db3ac774-995e-4e69-9a6f-f7e3d772cb38?utm_referrer=explore
ADMIN SALES,Sharp Point Bali,"Mengwi, Badung, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Hospitality and Service,N/A,https://glints.com/id/opportunities/jobs/admin-sales/2fe28672-8f69-40c5-bee9-d68a4e6a764a?utm_referrer=explore
Sopir Taxi,PT. Bluebird Pool Garuda,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SD,Kurang dari setahun,Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/sopir-taxi/625399f7-d1d0-454f-aecd-d46eaf9797ed?utm_referrer=explore
Posisi Industri Jasa Lainnya,PT ATRINDO ASIA GLOBAL ,"Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Php Programming,N/A,https://glints.com/id/opportunities/jobs/posisi-industri-jasa-lainnya/4a292466-e31c-4a56-9c5a-a85aedebca63?utm_referrer=explore
Sales Executive,Tulus Asih Group,"Kemantren Tegalrejo, Yogyakarta, DI Yogyakarta, Indonesia",Kontrak,Minimal SMA/SMK,Kurang dari setahun,Niat bekerja,N/A,https://glints.com/id/opportunities/jobs/sales-executive/1d5fa7d9-17c6-4300-8465-0c8a0f3b77af?utm_referrer=explore
Junior Software Developer,PT Stampindo Lancar Jaya,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Good Attitude,N/A,https://glints.com/id/opportunities/jobs/junior-software-developer/3b6c692a-57b1-4111-9f41-0dfe2fdc6a9f?utm_referrer=explore
Admin Sales,PT. JAT SECURINDO SERVICE,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Proactive And Fast Learner,N/A,https://glints.com/id/opportunities/jobs/admin-sales/6cc0ef15-8da1-408f-92fd-8fd7f24dbddd?utm_referrer=explore
Admin dan Host Live,Eclaire Authentic,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/admin-dan-host-live/62e761fc-b798-4990-ad48-c3ad48414f69?utm_referrer=explore
Admin Online,Kubba Group,"Bogor Barat, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Video Editor,"Rp1,5jt-Rp3,5jt",https://glints.com/id/opportunities/jobs/admin-online/531b7b01-0564-43a7-a1bc-401098df1c1b?utm_referrer=explore
E-Commerce Executive,PT Megatama Sukses Abadi,"Cibodas, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Komunikatif,Rp4jt-Rp6jt,https://glints.com/id/opportunities/jobs/e-commerce-executive/b55ef86a-943e-40de-9a48-368df267a69c?utm_referrer=explore
Management Trainee,Kubba Group,"Bogor Barat, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,live streaming,"Rp1,5jt-Rp2,3jt",https://glints.com/id/opportunities/jobs/management-trainee/2ffdc7eb-6953-406e-a26a-e5853cff5aed?utm_referrer=explore
Mekanik AC,PT. Cahaya Mutiara Sentosa,"Duren Sawit, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Order Processing,"Rp1,5jt-Rp2jt",https://glints.com/id/opportunities/jobs/mekanik-ac/d35a3d98-d2aa-451b-8578-8da984a1041f?utm_referrer=explore
Content Creator,MR Printing & Packaging,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Aktif Dan Inisiatif,"Rp4,5jt-Rp5jt",https://glints.com/id/opportunities/jobs/content-creator/901cf50a-25d9-4f4e-9db8-3ec73811958e?utm_referrer=explore
Cashier Event,PT Citra Pasifik Kosmetik,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Harian,Minimal SMA/SMK,Kurang dari setahun,Air Conditioning,Rp3jt-Rp4jt,https://glints.com/id/opportunities/jobs/cashier-event/90977729-1920-417b-a450-114c45ea5a2f?utm_referrer=explore
Health Beauty Advisor,PT. MIC TRANSFORMER,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Social Media Strategy,"Rp3,2jt-Rp4jt",https://glints.com/id/opportunities/jobs/health-beauty-advisor/ea42cd29-822e-42a3-862b-94dd363a671b?utm_referrer=explore
Decoration and Tent Team,Acita Wedding,"Tanah Sareal, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Cashier,"Rp4,9jt-Rp5,1jt",https://glints.com/id/opportunities/jobs/decoration-and-tent-team/21ee718f-acf3-4ca3-b053-53c237f2331d?utm_referrer=explore
Admin Marketing,Acita Wedding,"Tanah Sareal, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Customer Service,"Rp1,9jt",https://glints.com/id/opportunities/jobs/admin-marketing/27e20015-7caa-497c-8853-b862079c45a7?utm_referrer=explore
Sales Admin (Magang),PT. Wahana Adireksa Pratama ,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Proactive And Fast Learner,"Rp2jt-Rp2,5jt",https://glints.com/id/opportunities/jobs/sales-admin-magang/f2c37075-99dc-4108-8687-b866c7555693?utm_referrer=explore
Gallery Team,Acita Wedding,"Tanah Sareal, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Pekerja Keras,"Rp4,9jt-Rp6jt",https://glints.com/id/opportunities/jobs/gallery-team/56168ac9-47f7-4149-921e-bd61a7e2dbe8?utm_referrer=explore
Senior Waiter,Sista Dumpling Canggu,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Bisa Mengendarai Mobil,N/A,https://glints.com/id/opportunities/jobs/senior-waiter/6db6728f-f343-40b0-873a-1b58b607ba5e?utm_referrer=explore
Marketing Social Media,Sista Dumpling Canggu,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Public Speaking,N/A,https://glints.com/id/opportunities/jobs/marketing-social-media/2d547d56-bca6-4a42-bb4f-521321cc2e35?utm_referrer=explore
Asisten Penilai Bisnis (Internship),KJPP Herman Meirizki dan Rekan,"Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,Management,N/A,https://glints.com/id/opportunities/jobs/asisten-penilai-bisnis-internship/ef16d574-f51e-4f6f-b26b-b7fcf60a1a42?utm_referrer=explore
Social Media Specialist,Amorphotoworks,"Bogor Utara, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Administration,N/A,https://glints.com/id/opportunities/jobs/social-media-specialist/5bb6eded-3ee2-44c5-8a3a-8ee454985a79?utm_referrer=explore
Staff Penilai Properti,KJPP Herman Meirizki dan Rekan,"Jagakarsa, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Tata busana,N/A,https://glints.com/id/opportunities/jobs/staff-penilai-properti/9e17ffb4-9813-484b-a4df-66f04bc0c8c7?utm_referrer=explore
Editor Video & Film,CV. Kukche Mitra Sukses,"Kedunghalang, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Microsoft Office,N/A,https://glints.com/id/opportunities/jobs/editor-video-and-film/55236074-a6b8-4183-a596-f31ecae3a7a5?utm_referrer=explore
Promotor Vivo,PT Blue Ocean Heart (Vivo Bali),"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Pelayan / Pramuniaga / Waiter / Server,N/A,https://glints.com/id/opportunities/jobs/promotor-vivo/5d6c1615-683c-4062-bc3f-558de7007595?utm_referrer=explore
Sales IT,Gooritss Indonesia Sejahtera,"Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Social Media Marketing,N/A,https://glints.com/id/opportunities/jobs/sales-it/906b10be-9c31-430e-94b4-256909783435?utm_referrer=explore
Admin Marketing,M'Soul Indonesia,"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Bisnis,N/A,https://glints.com/id/opportunities/jobs/admin-marketing/5a9b7542-dc51-4f9e-9144-7f7320ce5ec1?utm_referrer=explore
Content Creator,Livesmart Asia Pte Ltd,"Batam Kota, Batam, Kepulauan Riau, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Asistent,N/A,https://glints.com/id/opportunities/jobs/content-creator/fd5a44d9-5f2a-419f-b530-f19477bfe6fe?utm_referrer=explore
Sales Showroom,PT Panca Wisesa Adhika,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Social Media,N/A,https://glints.com/id/opportunities/jobs/sales-showroom/22863373-ae6d-4bd2-bc4b-c225874aeec6?utm_referrer=explore
Petugas Keamanan/Satpam,MIRALAND,"Kuta Selatan, Badung, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Social Media Specialist,N/A,https://glints.com/id/opportunities/jobs/petugas-keamanan-satpam/fc176580-acb9-463e-bb93-a0fb5dc2831e?utm_referrer=explore
Admin Tax,MIRALAND,"Kuta Selatan, Badung, Bali, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Penilaian Properti,N/A,https://glints.com/id/opportunities/jobs/admin-tax/8f04c579-728a-4fde-be93-3b80fdd4811e?utm_referrer=explore
Hospital Admissions Excellent English Communication,PT Swakarya Insan Mandiri,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Video Editor,N/A,https://glints.com/id/opportunities/jobs/hospital-admissions-excellent-english-communication/2d59f98d-2337-451a-8ca6-28918eba4dbe?utm_referrer=explore
Account Executive Banyuwangi MyRepublic,MyRepublic Jawa Timur,"Banyuwangi, Banyuwangi, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Videography,N/A,https://glints.com/id/opportunities/jobs/account-executive-banyuwangi-myrepublic/87f5069a-8022-4a9b-9169-fe8ec37f1b23?utm_referrer=explore
Contact Center Agent,PT Rajawali Berdikari Indonesia,"Kapanewon Mlati, Sleman, DI Yogyakarta, Indonesia",Kontrak,Minimal Diploma (D1 - D4),Kurang dari setahun,Sales Marketing,N/A,https://glints.com/id/opportunities/jobs/contact-center-agent/c9759b13-7de8-402f-b41e-e6b95cf356e6?utm_referrer=explore
Hospital Admissions - Excellent English Communication,PT Swakarya Insan Mandiri,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Komunikasi skills,N/A,https://glints.com/id/opportunities/jobs/hospital-admissions-excellent-english-communication/e0a26779-ef00-4964-a124-62b5892775eb?utm_referrer=explore
Florist Assistant,The Voletta Studio,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Marketing,N/A,https://glints.com/id/opportunities/jobs/florist-assistant/de4719c4-6239-4e9a-be94-2b792ba23bb0?utm_referrer=explore
DRAFTER INTERNSHIP / MAGANG DRAFTER,PT Wadah Arta Agung,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Magang,Minimal Diploma (D1 - D4),Kurang dari setahun,Microsoft Office,N/A,https://glints.com/id/opportunities/jobs/drafter-internship-magang-drafter/a9eff1f2-281f-49a5-b7de-0571ce8458f7?utm_referrer=explore
Multimedia,Karisma Jaya Vapor,"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Adobe Photoshop,Rp550rb-Rp550rb,https://glints.com/id/opportunities/jobs/multimedia/e02fedcd-cbee-4ee2-83f1-ed28a70d0721?utm_referrer=explore
Vaporista,Karisma Jaya Vapor,"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Mampu Bekerja Keras Dan Jujur Serta Cepat Mampu Menyesuaikan Dan,Rp105rb-Rp110rb,https://glints.com/id/opportunities/jobs/vaporista/51230531-ad84-4814-b6b4-53addfcc8986?utm_referrer=explore
Recruitment Specialist Internship,LAWSON INDONESIA (PT. LANCAR WIGUNA SEJAHTERA),"Kapanewon Sewon, Bantul, DI Yogyakarta, Indonesia",Magang,Minimal Sarjana (S1),Kurang dari setahun,Recruitment & Selection,"Rp5jt-Rp7,2jt",https://glints.com/id/opportunities/jobs/recruitment-specialist-internship/0711fe25-c374-4cb7-b10c-d1ad2aa5b304?utm_referrer=explore
Business Analyst,PT Merkle Inovasi Teknologi,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Magang,Minimal Diploma (D1 - D4),Kurang dari setahun,Business Planning,"Rp3,6jt",https://glints.com/id/opportunities/jobs/business-analyst/81889eb7-b364-4702-a73c-81995d96b432?utm_referrer=explore
Inventory Control Support,LAWSON INDONESIA (PT. LANCAR WIGUNA SEJAHTERA),"Kapanewon Sewon, Bantul, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Statistical Data Analysis,Rp100rb-Rp105rb,https://glints.com/id/opportunities/jobs/inventory-control-support/dbb8a524-fc0c-44b6-9255-4f33f783ca77?utm_referrer=explore
Kurir Rider dan Driver,PT. Artha Kreasi Utama,"Cilegon, Cilegon, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Punya Kendaraan Pribadi,"Rp4,5jt-Rp5jt",https://glints.com/id/opportunities/jobs/kurir-rider-dan-driver/5bd14be8-51b0-482f-b856-36ee4b8b9ff4?utm_referrer=explore
Team Leader for Project,PT Tata Bisnis Solusi,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Kontrak,Minimal Diploma (D1 - D4),Kurang dari setahun,Memiliki Jiwa Kepemimpinan,Rp3jt-Rp4jt,https://glints.com/id/opportunities/jobs/team-leader-for-project/53285c8c-255a-4761-b2ad-b67858b4eb9b?utm_referrer=explore
FREELANCE BAZAAR SALES - ICE BSD,Make Scents,"Serpong, Tangerang Selatan, Banten, Indonesia",Harian,Minimal SMA/SMK,Kurang dari setahun,Bazaar coordinator,"Rp1jt-Rp1,5jt",https://glints.com/id/opportunities/jobs/freelance-bazaar-sales-ice-bsd/64ca455f-6607-4d6a-920c-d57ae60724cb?utm_referrer=explore
STAFF PERSONALIA,Pt Baraka Sarana Tama,"Blang Mangat, Lhokseumawe, Nanggroe Aceh Darussalam, Indonesia",Kontrak,Minimal Sarjana (S1),Kurang dari setahun,Management,"Rp2,4jt",https://glints.com/id/opportunities/jobs/staff-personalia/22fce418-502e-4c97-93af-0adc04c09dd9?utm_referrer=explore
STAFF PERSONALIA,Pt Baraka Sarana Tama,"Tallo, Makassar, Sulawesi Selatan, Indonesia",Kontrak,Minimal Sarjana (S1),Kurang dari setahun,Human Resource Management,Rp4jt-Rp4jt,https://glints.com/id/opportunities/jobs/staff-personalia/41c72da6-7bef-4fcc-a4f2-9acb36cbbebe?utm_referrer=explore
Dental Assistant (Intraoral Scan Specialist),Solusi Senyum Indonesia,"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,Minimal Diploma (D1 - D4),Kurang dari setahun,Management,N/A,https://glints.com/id/opportunities/jobs/dental-assistant-intraoral-scan-specialist/7bb1cad9-ad3d-4881-a6c0-cacc97a942e0?utm_referrer=explore
Sales B2B,PT. Artha Kreasi Utama,"Wonocolo, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Human Resource Management,N/A,https://glints.com/id/opportunities/jobs/sales-b2b/187c829b-d50f-4d08-bda8-413490a8bdd2?utm_referrer=explore
Accounting,Rumah Sakit Umum USADA,"Taman, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Patient Care,N/A,https://glints.com/id/opportunities/jobs/accounting/d209b7cf-fdda-477f-b4ea-5bd2345e0445?utm_referrer=explore
Apoteker,Rumah Sakit Umum USADA,"Taman, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Dental Nurse,N/A,https://glints.com/id/opportunities/jobs/apoteker/aea8768e-8dff-421d-b273-f85ad3831d92?utm_referrer=explore
Kurir Rider dan Driver Bekasi,PT. Artha Kreasi Utama,"Pondok Gede, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Management,N/A,https://glints.com/id/opportunities/jobs/kurir-rider-dan-driver-bekasi/e401bf1a-5615-4a46-8147-f3cfda52d423?utm_referrer=explore
Recruitment Assistant Intern (Jakarta Area),PT VPlus Platinum 8 Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal Sarjana (S1),Kurang dari setahun,Microsoft Excel,N/A,https://glints.com/id/opportunities/jobs/recruitment-assistant-intern-jakarta-area/ee0e0200-9471-454d-ae80-e6d9d2235aa6?utm_referrer=explore
Internship Maintenance - IoT,PT Garuda Metal Utama,"Cibitung, Bekasi, Jawa Barat, Indonesia",Magang,Minimal Sarjana (S1),Kurang dari setahun,Apoteker Penanggungjawab,N/A,https://glints.com/id/opportunities/jobs/internship-maintenance-iot/843c9e7e-b0e7-4dcc-be2e-da8afa0e31b9?utm_referrer=explore
Sopir,PT Kartika Bali Sejati,"Kuta, Badung, Bali, Indonesia",Kontrak,Minimal SMA/SMK,Kurang dari setahun,Apoteker Penanggungjawab,N/A,https://glints.com/id/opportunities/jobs/sopir/2679ea9a-02cc-4b77-9905-f974622b7b0d?utm_referrer=explore
Marketing Executive  - Banten,PT Cilia Prisma Utama Makmur,"Serang, Serang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Punya Kendaraan Pribadi,N/A,https://glints.com/id/opportunities/jobs/marketing-executive-banten/fa5ab68b-8796-4244-b6fe-25db9757317f?utm_referrer=explore
Backend Developer,PT Sumber Trijaya Lestari (Aksesmu),"Pinang, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,Recruitment,N/A,https://glints.com/id/opportunities/jobs/backend-developer/a5fde188-475f-4840-8337-dd77d4ea07eb?utm_referrer=explore
Host Live Streaming,PT Venus Indo Prima,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Recruitment & Selection,N/A,https://glints.com/id/opportunities/jobs/host-live-streaming/6b86442c-469a-4714-b4c4-8d271aeb8c8f?utm_referrer=explore
Assistant Head of Operational Manager,JD Agency,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Kontrak,Minimal SMA/SMK,Kurang dari setahun,PLC,N/A,https://glints.com/id/opportunities/jobs/assistant-head-of-operational-manager/7c1e19f5-42d1-44d6-a371-a7a9900cc8f1?utm_referrer=explore
Admin Marketplace & Host Live,SocioDigitals,"Gubeng, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,IoT projects,N/A,https://glints.com/id/opportunities/jobs/admin-marketplace-and-host-live/b3be5337-2b53-4863-82a7-022f54ded82f?utm_referrer=explore
Advertiser Facebook Ads,PT Sigma Digital Nusantara,"Kemantren Umbulharjo, Yogyakarta, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Driver,N/A,https://glints.com/id/opportunities/jobs/advertiser-facebook-ads/d8c01fd1-efd6-4c9c-9b19-a66465535b18?utm_referrer=explore
