Company,Job_title,Location,Salary,Work Type,Skill,Job_Desc,Links
PT Salesworks Group Indonesia,Sales Management Program,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Willingness to learn, Excellent communication skill, Target oriented, Experience in sales and working as a team, Enjoy travelling",https://glints.com/id/opportunities/jobs/sales-management-program/13fdc9ac-42d1-4573-b999-af91a2063846?utm_referrer=explore
Dafanya Scarf,Videografer,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Creative Concept, Photo & Video Editing, Photography",,https://glints.com/id/opportunities/jobs/videografer/76f73a2e-c550-4ffd-ae71-4dd04e484806?utm_referrer=explore
M'Soul Indonesia,Admin Marketing,"Denpasar Barat, Denpasar, Bali, Indonesia","Rp4,5jt-Rp5jt",Penuh Waktu,"Marketing, Microsoft Office, Administration",,https://glints.com/id/opportunities/jobs/admin-marketing/5a9b7542-dc51-4f9e-9144-7f7320ce5ec1?utm_referrer=explore
PT Cilia Prisma Utama Makmur,Marketing Executive  - Banten,"Serang, Serang, Banten, Indonesia","Rp4,5jt-Rp5jt",Penuh Waktu,"Penjualan Dan Pemasaran, Sales, Sales Marketing","Posisi ini juga berlaku bagi Marketing Executive, Sales Representative, Business Development Officer dan Account Executive, Membuka pasar dan mencari pelanggan baru di pasar traditional, retail dan pareto, Bertanggung jawab atas mencapai target penjualan dan kunjungan yang telah ditetapkan perusahaan, Menjaga hubungan baik dengan pelanggan, Memastikan proses penjualan berjalan dengan lancar, Bertanggung jawab atas penagihan terhadap pelanggan, Membuat laporan harian, mingguan dan bulanan, Bersedia ditempatkan area Serang dan Tangerang",https://glints.com/id/opportunities/jobs/marketing-executive-banten/fa5ab68b-8796-4244-b6fe-25db9757317f?utm_referrer=explore
FIFGROUP CABANG KUTA,Marketing Executive,"Kuta, Kab. Badung, Bali, Indonesia","Rp1,2jt-Rp10jt",Penuh Waktu,,"Menawarkan produk pinjaman dana tunai, Menjaga loyalitas customer",https://glints.com/id/opportunities/jobs/marketing-executive/795cc762-766c-49f2-9cdb-635ccb97ffa5?utm_referrer=explore
Universitas Indonesia Membangun,Dosen Sistem Informasi,"Batununggal, Bandung, Jawa Barat, Indonesia",Rp6jt-Rp9jt,Penuh Waktu,"Pengabdian Masyarakat Melalui Program, Research, Mengajar",,https://glints.com/id/opportunities/jobs/dosen-sistem-informasi/1818050a-b2d4-4579-8037-bd7bb8fe72ac?utm_referrer=explore
PT Panca Wisesa Adhika,Marketing Dealer / Sales Dealer,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Membangun dan menjaga hubungan bisnis yang baik dengan pelanggan yang ada., Bisa bekerja tim dan target., Melakukan penjualan untuk dealer., Memasikan pengiriman barang ke dealer dilakukan sesuai dengan standar., Melakukan penjualan e commerce, Mengelola administrasi penjualan., Menangani komplain.",https://glints.com/id/opportunities/jobs/marketing-dealer-sales-dealer/01943cc8-bfa6-42e5-87c5-13f9f07d1289?utm_referrer=explore
The Compass Rose Ubud,Category Operations Manager,"Ubud, Kab. Gianyar, Bali, Indonesia",Rp5jt-Rp6jt,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/category-operations-manager/3ddeceb5-b260-46b2-a4f1-1ec7d1a55f3a?utm_referrer=explore
Pt Pohon Mas Sejahtera,IT Support,"Cakung, Jakarta Timur, DKI Jakarta, Indonesia","Rp3,5jt-Rp5jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/it-support/3ebcbf63-e1a9-40b6-b548-969fca4a32d2?utm_referrer=explore
PT Fujitec Indonesia,Sales Engineer,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Analytical Skills, Product Knowledge, B2b Sales, Good Communication Skills",,https://glints.com/id/opportunities/jobs/sales-engineer/96385f49-7e30-43e6-a62c-1d41897e28d6?utm_referrer=explore
PT Horus Technology Indonesia,Content Creator,"Kapanewon Gamping, Kab. Sleman, DI Yogyakarta, Indonesia","Rp4,1jt-Rp5,5jt",Paruh Waktu,"Content Writing, Content Creator, Desain Grafis, Content Creation, Content Writer, Multimedia, Paham Instagram, Membuat Konten Tiktok",,https://glints.com/id/opportunities/jobs/content-creator/75cc408a-f082-43a2-beed-a7923273b18f?utm_referrer=explore
Gooritss Indonesia Sejahtera,Sales IT,"Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Communication and Customer Service skills, Sales experience, Ability to provide training and support to customers, Sales Management experience, Experience in the IT hardware industri, Excellent interpersonal and relationship-building skills, Ability to work independently and as part of a team, Bachelor's degree in Business, Marketing, or related field",https://glints.com/id/opportunities/jobs/sales-it/906b10be-9c31-430e-94b4-256909783435?utm_referrer=explore
PT. Rajawali Anugrah Resources,Frontliner,"Tanjung Priok, Jakarta Utara, DKI Jakarta, Indonesia","Rp4,5jt-Rp5jt",Penuh Waktu,"Ramah dan komunikatif, Jujur, teliti, dan rajin, Berkomunikasi Dengan Baik, Melayani Customer dengan baik",,https://glints.com/id/opportunities/jobs/frontliner/cdf7ad39-04ce-433c-8bd3-7e296beb4520?utm_referrer=explore
PT.LEGALKU DIGITAL TEKNOLOGI,Business Development Internship,"Gubeng, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Magang,,"Target Oriented, Tertarik Di Dunia Sales, Negosiator Yang baik, dan memiliki keterampilan Prestasi Yang Baik., Mampu Mengoperasikan Internet, Microsoft Office, Dan Google Workspace., Memiliki kemampuan Administrasi Dan Mengelola Database Dengan Baik., Memiliki Ketertarikan, Mengenal Dan Memahami Bisnis Jasa Legalitas., Fresh Graduate Atau Mahasiswa Tingkat Akhir (Lulusan Manajemen,Komunikasi Dan Psikologi Akan Menjadi Nilai Tambah).",https://glints.com/id/opportunities/jobs/business-development-internship/6cd668f8-984b-4521-9cd2-ba49a937b833?utm_referrer=explore
Dapoer Makmur,Content Creator,"Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Pria/Wanita usia max. 25 tahun, Fresh graduate (Pendidikan min. S1 DKV/Komunikasi), Dapat menggunakan aplikasi graphic design (photoshop/illustrator) dan dapat mengedit video, Kreatif, inisiatif, komunikasi baik, percaya diri, Diutamakan berdomisili di daerah Cengkareng/Jakarta Barat, Memiliki kendaraan pribadi",https://glints.com/id/opportunities/jobs/content-creator/b3396c1a-cbed-46af-8ebd-78356fe4ea11?utm_referrer=explore
Honda IKM Hasyim Ashari,Sales Consultant,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia","Rp2,8jt-Rp15jt",Penuh Waktu,,"1. Usia maksimal 35 tahun., 2. Pria/Wanita, 3. Minimal SMA/SMK., 4. Siap kerja dengan target bulanan., 5. Disukai membawa kendaraan sendiri (minimal motor), 6. Jujur, target oriented & dapat bekerja sama dengan team, 7. Memiliki skill management, analytical, dan teamwork yang baik",https://glints.com/id/opportunities/jobs/sales-consultant/1b43e7ba-9673-44f1-878a-a5498d6bc22c?utm_referrer=explore
Javamifi,Intern Talent & Host Live Streamer,"Duren Sawit, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Memandu berjalannya live shoping di sosial media sebagai host, Menjadi talent/model dalam produksi konten, Mampu menjawab pertanyaan sesuai dengan product knowledge brand dengan baik, Melakukan live dengan total waktu 80 jam per bulan (20 jam x 4 jam per hari)",https://glints.com/id/opportunities/jobs/intern-talent-and-host-live-streamer/6ae3cc5c-42ab-43b0-9bfb-207a5513ed73?utm_referrer=explore
PT. KREASI PEMUDA BANGSA (AKSEL),Sales Online [Heater Water Company],"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Sales Management, Sales, Admin Sales E-Commerce","Umur Max 35 Tahun, Pendidikan min SMA/SMK Sederajat, Berpengalaman min 1 Tahun menjadi Sales Online atau Digital Marketing E-Commerce dan Sales Retail, Paham strategi marketing di E-commerce atau platform online lainnya, Menguasai ads marketplace dan media sosial, Teliti, mempunyai kemampuan berkomunikasi yang baik dan Analysis Thinking yang bagus, Kreatif dan Fast Response, Target Oriented, Self Motivated and Hard Worker, Terbiasa bekerja dengan target penjualan, time management yang baik dan loyal, Terbiasa bekerja dengan deadline, dan mempunyai problem solving yang baik, Mampu bekerjasama secara individu maupun tim",https://glints.com/id/opportunities/jobs/sales-online-heater-water-company/0d6e586b-308e-4b0b-a93b-17ce81d92e63?utm_referrer=explore
ASSOCIE.CO.ID,Sales  Marketing Tour & Travel,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia","Rp4jt-Rp4,5jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/sales-marketing-tour-and-travel/b6a2f623-adbd-4275-86b0-4c5c4e04e2a8?utm_referrer=explore
PT. Salam Pacific Indonesia Lines,Heavy Equipment Mechanic (Tanjung Priok Jakarta),"Tanjung Priok, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/heavy-equipment-mechanic-tanjung-priok-jakarta/eabca032-db8e-4eb4-9518-a001b8890403?utm_referrer=explore
Bimbel Bina Prestasi Cemerlang (BPC),Tutor SMP,"Duren Sawit, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Tutor, tutor, Tutor Teacher",,https://glints.com/id/opportunities/jobs/tutor-smp/3e160381-77b4-46fe-b644-12b80121a983?utm_referrer=explore
Bimbel Bina Prestasi Cemerlang (BPC),Executive Marketing,"Duren Sawit, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/executive-marketing/f3ea3838-0f37-4bde-8f3a-fbada3de6216?utm_referrer=explore
Bimbel Bina Prestasi Cemerlang (BPC),Staf Akademik (QC),"Duren Sawit, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/staf-akademik-qc/768be7e5-30d7-42a0-90f8-110ba5a4efce?utm_referrer=explore
Djalaluddin Pane Foundation (DPF),Staff Fundraising,"Medan Selayang, Medan, Sumatera Utara, Indonesia",Rp3jt-Rp5jt,Penuh Waktu,"Negosiasi Dan Presentasi, Memiliki Kemampuan Komunikasi Yang Baik, Sales Marekting",,https://glints.com/id/opportunities/jobs/staff-fundraising/9024f823-bfec-450e-b1f7-569041bc7b87?utm_referrer=explore
PT Aneka Dasuib Jaya (Javasuperfood),Backend Developer,"Cibodas, Tangerang, Banten, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Membangun perangkat lunak yang kuat dan skalabel dengan membangun fitur baru, debugging, dan mengoptimalkan aplikasi, Menulis kode bersih untuk mengembangkan aplikasi web fungsional, Berkolaborasi dengan pengembang front-end untuk mengintegrasikan elemen yang terlihat oleh pengguna dengan logika sisi server, Mengembangkan dan mengusulkan produk atau fitur baru dengan memantau industri, Bekerja sama dengan desainer, manajer produk, dan administrator sistem untuk mengidentifikasi dan membangun fitur baru",https://glints.com/id/opportunities/jobs/backend-developer/ab9e3bf6-ec51-4552-b2c9-e7a0e1420e79?utm_referrer=explore
PT Speedwork Solusi Utama,National Fleet Sales 4W,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Kontrak,"Problem Solving, Sales and Marketing, Direct Sales, Product Knowledge, Fleet Sales, Good Communication Skills",,https://glints.com/id/opportunities/jobs/national-fleet-sales-4w/7c9dc213-dfcb-49f1-821b-47988a2567cf?utm_referrer=explore
