id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link
gl439,Designer Internship,PT Sometech Indonesia,Adobe Illustrator,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Photo & Video Editing, Graphic Design, Adobe Illustrator, Canva, Adobe Premiere, Adobe Photoshop",Sarjana (S1),"Mahasiswa semester akhir jurusan Design, DKV, Desain Grafis atau setara, Mampu bekerja secara individu maupun team, Mempunyai skill problem solving yang baik, Bersedia jika membawa laptop pribadi selama magang berlangsung, Memahami SEO / Ads akan menjadi nilai lebih",https://glints.com/id/opportunities/jobs/designer-internship/d7f72d46-927d-4104-ab9e-765c7f598376?utm_referrer=explore
gl441,Brand Ambassador (BA),PT INDOLIMA PERKASA BALI,Berkomunikasi Dengan Baik,"Denpasar Utara, Denpasar, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp3jt-Rp3,5jt",Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Menawarkan produk dan melakukan penjualan di outlet, Memberikan pelayanan informasi produk kepada pelanggan, Membantu memantau stok barang, kerapian, dan kebersihan display barang",https://glints.com/id/opportunities/jobs/brand-ambassador-ba/65ecbf4c-43b6-49bb-bf80-396a72273c21?utm_referrer=explore
gl442,Tutor Private,Bimbel Cendekia Ilmu,Tutor Privat Freelance,"Pakal, Surabaya, Jawa Timur, Indonesia",Paruh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,Sarjana (S1),"Pria/Wanita, S1/Sedang menempuh kuliah sesuai bidangnya, Diutamakan berpengalaman mengajar, Mau belajar dan bekerjasama dengan tim, Bisa membaca Al-Qur'an, Menyukai anak-anak, Sabar dan telaten",https://glints.com/id/opportunities/jobs/tutor-private/5e3ff2df-1302-4aa7-a770-419daebdce14?utm_referrer=explore
gl443,Tutor SD,Bimbel Cendekia Ilmu,Mengajar Sekolah Dasar,"Pakal, Surabaya, Jawa Timur, Indonesia",Paruh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Mengajar Sekolah Dasar, Membaca Al-quran, Berpengalaman mengajar",Sarjana (S1),"Pria/Wanita, S1/Sedang menempuh kuliah sesuai bidangnya, Diutamakan berpengalaman mengajar, Mau belajar dan bekerjasama dengan tim, Bisa membaca Al-Qur'an, Menyukai anak-anak, Sabar dan telaten",https://glints.com/id/opportunities/jobs/tutor-sd/1d707b92-409d-477e-9a4e-028d3a6c0fe8?utm_referrer=explore
gl444,Tutor TK,Bimbel Cendekia Ilmu,Membaca Alquran,"Pakal, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Menyukai anak-anak, Membaca Alquran, Berpengalaman mengajar",Sarjana (S1),"Pria/Wanita, S1/Sedang menempuh kuliah sesuai bidangnya, Diutamakan berpengalaman mengajar, Mau belajar dan bekerjasama dengan tim, Bisa membaca Al-Qur'an, Menyukai anak-anak, Sabar dan telaten",https://glints.com/id/opportunities/jobs/tutor-tk/a400a26e-59a7-49d6-985f-68f160ecb560?utm_referrer=explore
gl445,Tutor Reguler,Bimbel Cendekia Ilmu,Bisa Mengajar,"Pakal, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Bisa Mengajar, Menyukai anak-anak, Berkomunikasi Dengan Baik",Sarjana (S1),"Pria/Wanita, S1/Sedang menempuh kuliah sesuai bidangnya, Diutamakan berpengalaman mengajar, Mau belajar dan bekerjasama dengan tim, Menyukai anak-anak, Sabar dan telaten",https://glints.com/id/opportunities/jobs/tutor-reguler/025b950f-5326-4ee5-b60f-5a2996f651db?utm_referrer=explore
gl451,Dish Washer,Sambal Bakar Bali,Memiliki Jiwa Kepemimpinan,"Denpasar Utara, Denpasar, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Dishwasher, disiplin dan bertanggung jawab, Jujur Dan Pekerja Keras, mampu bekerja dibawah tekanan, Memiliki Jiwa Kepemimpinan",SMA/SMK,"Laki-laki/Perempuan, Memiliki pengalaman minimal 6 bulan di bidang yang sama, Memiliki jiwa kepemimpinan yang tinggi, Berorientasi pada kepuasan pelanggan, Jujur, pekerja keras, disiplin, dan bisa bekerja di bawah tekanan",https://glints.com/id/opportunities/jobs/dish-washer/e10eea06-1b3d-4df3-af4a-24b69ae8b6f5?utm_referrer=explore
gl452,Kasir,G-PARK,Wanita,"Manyar, Gresik, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Wanita, Usia Maksimal 30 Tahun, Berpenampilan Menarik",SMA/SMK,"Wanita, Max 30 tahun, Berpenampilan menarik, Mampu bekerja dengan team",https://glints.com/id/opportunities/jobs/kasir/d7a144f4-fabf-4c76-84a0-1b226f30ebee?utm_referrer=explore
gl453,Cook Helper,Sambal Bakar Bali,Memiliki Jiwa Kepemimpinan,"Denpasar Utara, Denpasar, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Laki-laki/Perempuan, Memiliki pengalaman minimal 6 bulan di bidang yang sama, Memiliki jiwa kepemimpinan yang tinggi, Berorientasi pada kepuasan pelanggan, Jujur, pekerja keras, disiplin, dan bisa bekerja di bawah tekanan",https://glints.com/id/opportunities/jobs/cook-helper/61f7fc95-572d-48a8-93d6-1ae7e6e4bd8b?utm_referrer=explore
gl454,Cook Staff,Sambal Bakar Bali,Memiliki Jiwa Kepemimpinan,"Denpasar Utara, Denpasar, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Laki-laki/Perempuan, Memiliki pengalaman minimal 6 bulan di bidang yang sama, Memiliki jiwa kepemimpinan yang tinggi, Berorientasi pada kepuasan pelanggan, Jujur, pekerja keras, disiplin, dan bisa bekerja di bawah tekanan",https://glints.com/id/opportunities/jobs/cook-staff/35e428cd-44d1-4094-86ec-4b5a34f04ba7?utm_referrer=explore
