id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
kt42,HOSTLIVE TIKTOK PRODUK SKINCARE,PT Vimayo Indonesia Persada,Tidak ditampilkan,"Jakarta Barat, DKI Jakarta",Kontrak,Kerja di kantor,Rp 8.901.000,Tidak ada ketentuan,"Adaptability to Sales Needs, Clear Speaking, Persuasive Speaking",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/hostlive-tiktok-produk-skincare-a2ny,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F14182b82-20c0-4e80-05c3-875fabf07700%2Fthumbnail&w=96&q=75;
kt43,Credit Marketing Officer (CMO) - Bekasi,PT. Maybank Indonesia Finance,Tidak ditampilkan,"Kota Bekasi, Jawa Barat",Kontrak,Kerja di lapangan,Tidak ditampilkan,Tidak ada ketentuan,"Active Communication, Driving Skills, Credit Analysis",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/credit-marketing-officer-cmo-bekasi-iyqs,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fed3a49de-602b-4207-efce-b36a07529400%2Fthumbnail&w=96&q=75;
kt44,Kurir Motor Shopee Xpress Denpasar Selatan,PT Cipar Sukses Bersama,Tidak ditampilkan,"Kota Denpasar, Bali",Full Time,Kerja di lapangan,Rp 10.000.000,Tidak ada ketentuan,"Driving Skills, Logistics Mapping, Vehicle, Vehicle Safety",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/kurir-motor-shopee-xpress-denpasar-selatan-n6z0,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Ffc0f14c9-ba5c-4034-c913-6a6ca2a8b000%2Fthumbnail&w=96&q=75;
kt45,Credit Marketing Officer (CMO) - Bangka,PT. Maybank Indonesia Finance,Tidak ditampilkan,"Kota Pangkal Pinang, Kepulauan Bangka Belitung",Kontrak,Kerja di lapangan,Tidak ditampilkan,Tidak ada ketentuan,"Active Communication, Credit Analysis, Driving Skills",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/credit-marketing-officer-cmo-bangka-ueue,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fed3a49de-602b-4207-efce-b36a07529400%2Fthumbnail&w=96&q=75;
kt46,Kepala Koki,Cv Lundra Catering,Tidak ditampilkan,"Kota Makassar, Sulawesi Selatan",Kontrak,Kerja di kantor,Rp 7.000.000,Minimal 3 Tahun,3D Design Software Usage,D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/kepala-koki-df6b,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fc87bbedb-6998-4053-af37-b349edeaba00%2Fthumbnail&w=96&q=75;
kt47,Hair Staylis Salon,369 Group,Tidak ditampilkan,"Kota Surabaya, Jawa Timur",Kontrak,Kerja di kantor,Rp 8.000.000,Minimal 2 Tahun,3D Design,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/jobs-disk-staylis-km4v,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F3de7fa73-6c55-4b13-3ee9-a8771c186500%2Fthumbnail&w=96&q=75;
kt48,CHEF CHINESE FOOD,PT Maravillosa Indah Pratama,Tidak ditampilkan,"Jakarta Utara, DKI Jakarta",Full Time,Kerja di kantor,Rp 8.000.000,Minimal 2 Tahun,"Cooking skills, Cooking Time Management",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/chef-chinese-food-ggre,/icons/ic-company.svg;
kt49,Host Live Streaming Female (Full Time Position),PT MEGA BYTE,Tidak ditampilkan,"Jakarta Pusat, DKI Jakarta",Full Time,Kerja di kantor,Rp 6.000.000,Minimal 1 Tahun,"Public Speaking, English Language",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/host-live-streaming-female-full-time-position-5brj,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F2ea1ec60-c6a7-4984-5f89-8a52564ac300%2Fthumbnail&w=96&q=75;
kt50,"Rider Team Lead - SPX Express (Kota Tebing Tinggi, Sumatra Utara)",SPX Express,Tidak ditampilkan,"Kota Tebing Tinggi, Sumatra Utara",Kontrak,Kerja di lapangan,Tidak ditampilkan,Minimal 1 Tahun,"Good Leadership, Fleet Management, Fleet and Logistics Management, Delivery Route Planning, Communicating with a Team, Working Under Pressure",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/rider-team-lead-spx-express-kota-tebing-tinggi-r1xf,/icons/ic-company.svg;
kt51,Project Coordinator,CV. Sumber Rezeki,Tidak ditampilkan,"Jakarta Utara, DKI Jakarta",Full Time,Kerja di lapangan,Tidak ditampilkan,Minimal 3 Tahun,"Construction Project Management, Arrival Inspection Coordinator of Inspection, Controlled Production Planning",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/project-coordinator-tf59,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Ff1807511-9fd1-488c-ab53-5a89a6cd5800%2Fthumbnail&w=96&q=75;
