Company,Job_title,Location,Salary,Work Type,Skill,Job_Desc,Links
Nura Souvenir,Advertising FB Ads,"Kapanewon Depok, Sleman, DI Yogyakarta, Indonesia","Rp2,5jt-Rp3jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/advertising-fb-ads/cb0e4b25-750a-48d5-be08-5f4d3fbaf9e4?utm_referrer=explore
PT. Orang Informasi Teknologi,Robotic Process Automation,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/robotic-process-automation/b92ce5ae-d734-4a1f-9c45-d567d62d915e?utm_referrer=explore
Cv Naresy Indonesia,Education Consultant Makassar,"Makassar, Makassar, Sulawesi Selatan, Indonesia","Rp3,5jt-Rp3,7jt",Penuh Waktu,,"Finding new potential clients of University, lead research and sources, and networking to drive sales., Ensuring all Sales Marketing program both online and offline are running well, Involved in company’s activities such as company’s exhibition or school expo., Provide consultation for students, and parents about information on studying abroad.",https://glints.com/id/opportunities/jobs/education-consultant-makassar/5258dc34-f25f-4bba-a222-ffc4f60d2e4b?utm_referrer=explore
PT Cosmopack Plastindo Utama,Maintenance Mesin,"Medan Satria, Bekasi, Jawa Barat, Indonesia",Rp5jt-Rp10jt,Penuh Waktu,"Electrical Maintenance, Maintenance Engineering, Teknik Mesin, Berkomunikasi Dengan Baik, Repair And Maintenance","Mengatasi permasalahan mesin – mesin & peralatan lainnya, jika terjadi kerusakan., Menjaga, memelihara, merawat alat kerja & material-nya., Berkomunikasi dengan pihak vendor., Bertanggung jawab untuk mengembangkan prosedur perawatan dan memastikan prosedur tersebut sudah dilaksanakan.",https://glints.com/id/opportunities/jobs/maintenance-mesin/1012a2e4-7237-4d81-9bf6-cad5a1bb8b89?utm_referrer=explore
Kaiahati,Host Live Streaming Part Time,"Cipondoh, Tangerang, Banten, Indonesia","Rp2,4jt-Rp4,8jt",Paruh Waktu,"Good Communication Skills, Good In Selling Skill, Solution Selling","Max 30 Years, Women, Creative, Energic, and Attractive, Good Public Speaking and Confident in front of camera, Daily actively user on Tiktok App, Have a experience as a Live Streamer/ Host (prefered on fashion content), Targeted oriented & Ready to work at Day shift/ Night Shift/ Weekend/ National Holiday, Able to work with team",https://glints.com/id/opportunities/jobs/host-live-streaming-part-time/ccb7a73f-1b86-48e9-a1de-3de29706dade?utm_referrer=explore
"PT Mulia Industrindo, Tbk",Marketing Mulia Glass Designer,"Cikarang Pusat, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Kontrak,,"Pendidikan S1 DKV (IPK min. 2.75), Memiliki pengalaman 3-5 tahun di bidang yang sama, Menguasai Adobe Photoshop, Adobe Illustrator, dan CorelDRAW, Memahami komposisi dan penempatan elemen desain yang baik seperti prinsip-prinsip dasar komposisi (keseimbangan, kontras, dan proporsi) serta memahami tipografi, Mempunyai dasar pengetahuan tentang digital terutama sosial media seperti Instagram, Facebook dan TikTok, Memiliki kemampuan fotografi dan videografi, serta pengeditan yang baik, Penempatan di Cikarang (full on-site)",https://glints.com/id/opportunities/jobs/marketing-mulia-glass-designer/0db98d62-be4c-460c-ad0f-addd3a246bf5?utm_referrer=explore
Cv Naresy Indonesia,Education Consultant Tangerang,"Tangerang, Tangerang, Banten, Indonesia","Rp4,5jt-Rp4,8jt",Penuh Waktu,,"Finding new potential clients of University, lead research and sources, and networking to drive sales., Ensuring all Sales Marketing program both online and offline are running well, Involved in company’s activities such as company’s exhibition or school expo., Provide consultation for students, and parents about information on studying abroad.",https://glints.com/id/opportunities/jobs/education-consultant-tangerang/fd3abcaa-c7ee-4187-b9ae-f2076fcd0672?utm_referrer=explore
PT. Satya Dinamika Mandiri,Head Of Division Sales & Marketing,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Sales & Distribution, Revenue & Profit Growth, Sales Marketing",,https://glints.com/id/opportunities/jobs/head-of-division-sales-and-marketing/e1e8e37c-388a-4421-9c13-0d9ba9f8e48d?utm_referrer=explore
Hakana,Fashion Designer,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Rp5jt-Rp6jt,Paruh Waktu,,"Menguasai photoshop, illustrator, corel draw, dan software yang berkaitan, Mengenal pengetahuan mengenai bahan yang akan digunakan dalam design, Bisa membuat pola/ pattern, Bisa membuat sample (lebih disukai), Kreatif, pekerja keras, jujur dan mampu bekerja dalam tim, Dapat bekerja secara independen, Melampirkan portofolio",https://glints.com/id/opportunities/jobs/fashion-designer/97a67252-519e-462b-8389-bafbfb25e48c?utm_referrer=explore
Virallo.id,Video Editor Internship,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia","Rp1,5jt",Magang,,"Support the creative team with brainstorming, planning and producing of video content to achieve the, Produce, shoot and edit various types of video including; documentaries, interviews, series formats, sizzle reels., Conceptualize, pitch storytelling ideas, create and organize content from start to finish., Edit post-production footage with thorough knowledge of timing, motivation and continuity, as well as archiving., Work with creative team and marketing team to manage branding activities and marketing campaigns.",https://glints.com/id/opportunities/jobs/video-editor-internship/6a7dcc64-822b-45ec-9e23-3c84c7a70675?utm_referrer=explore
PT Grahabuana Cikarang,Sales Executive Rescom,"Cikarang Selatan, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Negosiasi Dan Presentasi, Publik Speaking, Berkomunikasi Dengan Baik, Menjalin relasi yang baik kepada customer dan melakukan handling",,https://glints.com/id/opportunities/jobs/sales-executive-rescom/67c64a3e-240e-4e62-99c8-608934e1d5be?utm_referrer=explore
Arkademi,Partnership Freelance (Subject Matter Expert Acquisition),"Ciputat, Tangerang Selatan, Banten, Indonesia",Perusahaan tidak menampilkan gaji,Kontrak,"Persuasion Skill, Negotiation Skill, Detail Oriented, Good Communication Skills, Administration",,https://glints.com/id/opportunities/jobs/partnership-freelance-subject-matter-expert-acquisition/de820cd5-fbe8-4b98-b396-2ac3ff7bedd1?utm_referrer=explore
